2018/7/24 15:18:24 : Scan Device Start
2018/7/24 15:18:25 : exception: Error when scan, 未将对象引用设置到对象的实例。
2018/7/24 15:18:25 : Scan Device End
2018/7/24 15:18:48 : User click fiwmware download
2018/7/24 15:18:50 : User click fiwmware download
